date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:47	56636/56636	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jun%202024%2018:33:00%20GMT	https://html.themeholy.com/webteck/demo/home-software-company.html	E:/ISHIITA/html.themeholy.com/webteck/demo/home-software-company.html	(from )
16:44:48	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jul%202024%2011:14:51%20GMT	https://html.themeholy.com/robots.txt		(from )
16:44:49	1800/1800	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-57x57.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
16:44:49	1868/1868	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-60x60.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
16:44:49	1836/1836	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-72x72.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
16:44:50	1895/1895	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-76x76.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
16:44:50	2774/2774	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-114x114.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
16:44:50	2936/2936	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-120x120.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
16:44:51	3585/3585	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-144x144.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
16:44:51	3840/3840	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-152x152.png	E:/ISHIITA/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/webteck/demo/home-software-company.html)
